school_ID,age_yrs,sex,weigth,height,BMI,cran_vol,head_circumference,birth_weight,birth_heigth,birth_head_circumference,M_birth_age,mothers_nationality,mothers_height,mothers_weight,dads_nationality,dads_height,N_sibs,birth_order,cohab_3,2_providers_OK,Two_providers,cohabitance,n_providers,two_paretnal_figures,parents_together,two_parents,parents_alive,dads_education,Feduc_3,Feduc_1,mothers_edu,Meduc_3,Max_edu_3,family_income,personal_estimate_of_resources,Resources_reported,enough_food,lacking_meat,lacking_fruit,lacking_milk_meat,lacking_vegs,estimate_of_educational_success,grades,smoking,alcohol,Mo-smokes,dad_smokes,engages_in_sport,Oma_toas_inimesi,Laste_arv_peres...150,underage_children,people_in_dwelling,height_rzs,BMI_rzs,cran_vol_rzs,head_circ_rzs
5,12.350685,1,46.75,158,18.726967,1161.661,54.1,3700,49,NA,29.4,1,164,67,1,184,1,1,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,5,1,3,0,0,0,0,NA,5,1,1,0,0,1,2,2,NA,5,0.539741805155413,0.26566259494652,-0.939568046294922,-0.368577801952556
5,13.238356,2,56,169.4,19.51467,1276.02,57.5,4800,52,NA,21.2,1,170,74,1,183,1,1,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,4,1,2,0,0,0,0,NA,5,1,1,0,3,0,2,2,NA,4,1.49651262674086,0.342942037186458,1.59810011188107,1.61964217800496
5,13.008219,2,45.1,159,17.839484,1248.42,57.5,4500,51,NA,22.1,1,170,69,1,181,1,1,2,1,1,1,2,1,1,1,1,5,3,0,3,2,3,NA,3,1,0,1,1,1,0,NA,5,1,0,0,4,1,2,2,NA,3,0.0533621125818259,-0.246572596716895,1.32052479061287,1.71340876274823
5,12.827397,2,47.9,162,18.251791,1203.084,55.7,3980,51,NA,28.2,1,175,65,1,192,1,2,2,1,1,1,2,1,1,1,1,3,2,0,3,2,2,NA,3,1,3,1,0,1,0,NA,5,1,1,1,0,0,2,2,NA,4,0.658106329437349,-0.0340740605864214,0.814452453133114,0.658931636846826
5,12.641096,2,39.9,155.5,16.50107,1148.886,54.9,2600,49,NA,25.7,1,168,76,1,182,1,1,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,3,1,4,0,0,0,0,NA,6,0,0,0,0,1,1,2,NA,4,-0.189788556511882,-0.659151007255662,0.205055316708518,0.244857126590011
5,12.358904,2,44,156.4,17.987847,1121.286,54.8,NA,NA,NA,21.4,1,168,63,1,NA,1,2,1,1,1,0,2,1,0,0,1,3,2,0,4,2,2,NA,4,1,4,0,0,0,0,NA,4,0,0,1,0,1,1,2,NA,3,0.22887558355333,0.022786455899435,-0.00821172120138395,0.332325851680381
5,12.983562,2,39.15,156.4,16.005095,1168.59,54.4,3100,48,NA,26.9,1,177,69,1,176,2,1,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,5,1,4,0,0,0,0,NA,5,0,0,0,0,1,1,3,NA,6,-0.329510358304241,-0.955237497496829,0.308039504584206,-0.236304282920282
5,12.263014,2,39.85,155.2,16.544166,1146.906,54.4,3300,51,NA,29.2,1,162,63,1,176,0,1,1,1,1,0,2,1,1,1,2,6,3,0,3,2,3,NA,4,1,4,0,0,0,0,NA,3,0,0,0,0,0,1,1,NA,3,0.157007867728497,-0.502051740766288,0.373659975594464,0.137698223441359
5,13.016438,2,42.4,152.3,18.279573,1097.634,53,3950,52,NA,26.1,1,158,58,1,182,1,2,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,4,1,2,0,0,0,0,NA,4,0,1,0,4,0,1,NA,NA,4,-0.987507537076983,-0.0772000197737724,-0.612888709444442,-1.13637594404284
5,12.926027,2,48.25,162.2,18.339843,1113.402,55.8,3150,50,36,22,1,168,64,1,187,1,1,0,0,0,0,1,0,0,0,1,6,3,0,3,2,3,NA,3,1,3,0,0,0,0,4,5,0,0,1,0,1,2,NA,2,3,0.610692756833911,-0.0281668048634537,-0.375427093712835,0.675491148237795
5,12.013699,2,46.75,157.7,18.798285,1109.454,54.7,4150,52,NA,31.1,1,167,75,1,178,2,3,2,1,1,1,2,1,1,1,1,6,3,0,6,3,3,NA,4,1,3,0,0,1,0,4,5,0,0,0,0,1,1,NA,1,5,0.879017352220884,0.485156702558982,0.058495504323513,0.502518425964066
5,11.986301,2,47.3,152.2,20.418876,1188.306,56.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0695978368675429,1.13006149358306,1.08837320539975,1.53588097251652
5,12.709589,1,48.65,164.3,18.022196,1306.5065,55.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1593112997404,0.0364768041290992,0.814236122643725,0.640823980957199
